Student Name,Teacher Name,Location Name,Day,Start Time,Duration Minutes,Status
Jayden Rivera,James Okafor,Access Bronx Charter School,Saturday,9:30 am,30,confirmed
Lucia Ramos,Marisol Vega,Access Bronx Charter School,Saturday,10:00 am,30,confirmed
Naomi Osei,Marisol Vega,Access Bronx Charter School,Saturday,10:30 am,30,confirmed
Marco Ramos,Sofia Petrov,Access Bronx Charter School,Saturday,10:00 am,30,confirmed
Fatima Al-Sayed,Sofia Petrov,Access Bronx Charter School,Saturday,10:30 am,30,pending confirmation
Devon Brown,Sofia Petrov,Access Bronx Charter School,Saturday,11:00 am,60,confirmed
Amara Diallo,Andre Baptiste,Bronx Community College,Saturday,10:00 am,30,pending reach out
Angel Martinez,Andre Baptiste,Bronx Community College,Saturday,10:30 am,60,confirmed
Mei Chen,Grace Lin,Bronx Community College,Saturday,10:30 am,30,confirmed
Isabella Cruz,Grace Lin,Bronx Community College,Saturday,11:00 am,30,confirmed
Kayla Thompson,Miguel Santana,Bronx Community College,Saturday,10:30 am,30,confirmed
Ethan Cruz,Miguel Santana,Bronx Community College,Saturday,11:00 am,30,confirmed
Sebastian Torres,Miguel Santana,Bronx Community College,Saturday,2:00 pm,60,pending confirmation
Chris Johnson,James Okafor,Bronx Community College,Saturday,2:00 pm,30,pending reach out
