Teacher Name,Location Name,Day
Marisol Vega,Access Bronx Charter School,Saturday
James Okafor,Access Bronx Charter School,Saturday
Sofia Petrov,Access Bronx Charter School,Saturday
Grace Lin,Access Bronx Charter School,Saturday
Andre Baptiste,Bronx Community College,Saturday
Grace Lin,Bronx Community College,Saturday
Miguel Santana,Bronx Community College,Saturday
James Okafor,Bronx Community College,Saturday
Andre Baptiste,Bronx Community College,Tuesday
Grace Lin,Bronx Community College,Tuesday
